date,123.482,123.482_trend,123.482_0.41yr,123.482_0.5yr,123.482_0.58yr,123.482_0.95yr,123.482_1yr,123.482_jump,123.482_model,123.482_noise,123.482_wtest,flagged
2022-05-01,-7.760733,-11.875346,1.129304,1.083575,0.861246,-1.353355,0.049831,1.299786,-8.804960,1.044227,0.522113,False
2022-06-01,-11.746680,-12.474896,-0.014792,0.240443,0.149651,-0.911922,-0.089759,1.299786,-11.801490,0.054810,0.027405,False
2022-07-01,-15.983387,-13.055105,-1.123645,-0.825443,-0.658697,-0.215744,-0.201441,1.299786,-14.780289,-1.203098,-0.601549,False
2022-08-01,-16.463187,-13.654655,-0.632329,-1.074890,-0.976356,0.566371,-0.261421,1.299786,-14.733494,-1.729692,-0.864846,False
2022-09-01,-12.968098,-14.254205,0.787254,-0.211842,-0.524188,1.174426,-0.248706,1.299786,-11.977476,-0.990622,-0.495311,False
2022-10-01,-9.073704,-14.834414,1.072316,0.845112,0.313876,1.420338,-0.170362,1.299786,-10.053349,0.979645,0.489822,False
2022-11-01,-8.602778,-15.433964,-0.179451,1.065488,0.928798,1.244481,-0.043081,1.299786,-11.117942,2.515164,1.257582,False
2022-12-01,-11.965856,-16.014173,-1.161041,0.221392,0.827343,0.708629,0.091906,1.299786,-14.026158,2.060302,1.030151,False
2023-01-01,-16.333121,-16.613723,-0.487135,-0.864218,0.083240,-0.057288,0.205840,1.299786,-16.433498,0.100377,0.050189,False
2023-02-21,-16.244836,-17.600079,1.163638,-0.557381,-0.970120,-1.168944,0.260525,1.299786,-17.572574,1.327738,0.663869,False
2023-03-14,-17.483052,-18.006225,0.610330,0.232824,-0.868764,-1.386437,0.225563,1.299786,-17.892925,0.409873,0.204936,False
2023-04-13,-17.823360,-18.586435,-0.769684,1.069332,-0.194032,-1.351356,0.126981,1.299786,-18.405407,0.582047,0.291023,False
2023-05-09,-19.118294,-19.089283,-1.143482,0.955054,0.530793,-1.002405,0.013557,1.299786,-18.435981,-0.682313,-0.341157,False
2023-06-14,-18.526664,-19.785534,0.205017,-0.261309,0.977606,-0.183843,-0.142976,1.299786,-17.891253,-0.635411,-0.317706,False
2023-07-11,-17.832942,-20.307722,1.135591,-1.037733,0.630896,0.500668,-0.228094,1.299786,-18.006608,0.173666,0.086833,False
2023-08-16,-18.241312,-21.003974,0.371176,-0.761757,-0.353526,1.206169,-0.264618,1.299786,-19.506744,1.265432,0.632716,False
2023-09-07,-18.490871,-21.429460,-0.666248,0.020429,-0.836103,1.404358,-0.237795,1.299786,-20.445034,1.954162,0.977081,False
2023-10-04,-18.797149,-21.951649,-1.159656,0.918028,-0.948917,1.346236,-0.159622,1.299786,-20.655795,1.858646,0.929323,False
2023-11-16,-20.284924,-22.783282,0.457726,0.739936,-0.041153,0.634800,0.025250,1.299786,-19.666938,-0.617986,-0.308993,False
2023-12-13,-19.591202,-23.305471,1.174866,-0.242337,0.674684,-0.037966,0.141045,1.299786,-20.295393,0.704191,0.352096,False
2024-01-01,-26.196429,-23.672937,0.851808,-0.864218,0.950137,-0.515716,0.205840,1.299786,-21.745300,-4.451129,-2.225564,False
2024-02-17,-22.339880,-24.579448,-1.076741,-0.691089,0.406041,-1.336078,0.263507,1.849119,-25.164689,2.824809,1.412404,False
2024-03-06,-23.544065,-24.926622,-1.108189,-0.044853,-0.103272,-1.422114,0.241106,1.849119,-25.514825,1.970760,0.985380,False
2024-04-17,-25.020497,-25.736696,0.592601,1.114522,-0.955940,-1.056500,0.107688,1.849119,-24.085207,-0.935290,-0.467645,False
2024-05-16,-25.349462,-26.296033,1.158386,0.765247,-0.788234,-0.438030,-0.021282,1.849119,-23.770826,-1.578636,-0.789318,False
2024-06-13,-25.667083,-26.836082,0.264201,-0.244310,-0.103452,0.272825,-0.141246,1.849119,-24.938944,-0.728139,-0.364069,False
2024-07-10,-24.973360,-27.356843,-0.923761,-1.029507,0.626380,0.895482,-0.226863,1.849119,-26.165993,1.192633,0.596317,False
2024-08-08,-26.302325,-27.916180,-1.003935,-0.951940,0.979831,1.328418,-0.265205,1.849119,-25.979892,-0.322433,-0.161216,False
