date,34.983,34.983_trend,34.983_0.5yr,34.983_0.58yr,34.983_1yr,34.983_1.05yr,34.983_model,34.983_noise,34.983_wtest,flagged
2024-09-04,-2.108223,-1.773324,0.255116,0.195789,0.501425,-0.871919,-1.692913,-0.415310,-0.207655,False
2024-10-16,-2.169513,-1.773324,0.077658,0.349704,0.498277,-0.387533,-1.235218,-0.934295,-0.467147,False
2024-11-12,-2.208914,-1.773324,-0.151102,0.180831,0.359586,0.035241,-1.348768,-0.860146,-0.430073,False
2024-12-05,-2.242478,-1.773324,-0.255856,-0.055827,0.179950,0.393275,-1.511781,-0.730696,-0.365348,False
2025-01-01,-2.023270,-1.773324,-0.186274,-0.294271,-0.063920,0.740135,-1.577653,-0.445617,-0.222808,False
2025-02-19,-2.300995,-1.773324,0.200482,-0.241184,-0.438670,0.978642,-1.274054,-1.026940,-0.513470,False
2025-03-13,-2.385488,-1.773324,0.258443,-0.028718,-0.520306,0.885932,-1.177973,-1.207515,-0.603758,False
2025-04-08,-2.423430,-1.773324,0.147215,0.230067,-0.521459,0.631257,-1.286243,-1.137186,-0.568593,False
2025-05-06,-2.464290,-1.773324,-0.091205,0.360175,-0.408269,0.232450,-1.680173,-0.784116,-0.392058,False
2025-06-03,-2.505150,-1.773324,-0.251233,0.255531,-0.202052,-0.214486,-2.185563,-0.319587,-0.159793,False
2025-07-16,-2.084926,-1.773324,-0.085788,-0.169268,0.184349,-0.784512,-2.628543,0.543617,0.271809,False
2025-08-07,-3.815196,-1.773324,0.105643,-0.327881,0.356664,-0.942635,-2.581533,-1.233663,-0.616832,False
2025-09-16,-1.690712,-1.773324,0.252496,-0.261868,0.528116,-0.915523,-2.170102,0.479390,0.239695,False
2025-10-01,-2.321092,-1.773324,0.190862,-0.129594,0.531152,-0.801337,-1.982241,-0.338851,-0.169426,False
