date,152.432,152.432_trend,152.432_0.2yr,152.432_0.37yr,152.432_0.44yr,152.432_0.5yr,152.432_0.93yr,152.432_1yr,152.432_jump,152.432_model,152.432_noise,152.432_wtest,flagged
2021-09-09,-4.000000,-4.661046,0.545083,-0.088548,-1.006333,0.688160,0.435055,-0.248315,0.000000,-4.335943,0.335943,0.167972,False
2021-10-05,-5.000000,-5.027613,-0.154238,-0.593075,-0.526313,0.846388,0.856354,-0.179125,0.000000,-4.777622,-0.222378,-0.111189,False
2021-11-23,-5.000000,-5.718450,0.576924,0.287909,0.985445,-0.300291,1.078979,0.030782,0.000000,-3.058704,-1.941296,-0.970648,False
2021-12-14,-3.848828,-6.014523,-0.002975,0.604010,0.820518,-0.765777,0.906309,0.123294,0.000000,-4.329145,0.480317,0.240159,False
2022-01-01,,-6.268300,-0.592680,0.449146,0.248111,-0.863822,0.649121,0.190312,0.000000,-6.188113,,,False
2022-02-01,,-6.705361,0.523043,-0.347402,-0.826515,-0.322416,0.059029,0.260532,0.000000,-7.359090,,,False
2022-03-01,-9.869250,-7.100125,-0.202868,-0.572022,-0.888703,0.480398,-0.495863,0.261829,0.000000,-8.517353,-1.351896,-0.675948,False
2022-04-01,-4.685947,-7.537185,-0.073365,0.128138,0.130833,0.867659,-0.953129,0.194115,0.000000,-7.242935,2.556988,1.278494,False
2022-05-01,-4.509190,-7.960147,0.374357,0.606588,0.970754,0.384025,-1.105754,0.076870,0.209547,-6.443760,1.934570,0.967285,False
2022-06-01,-8.855453,-8.397207,-0.542718,0.055091,0.588560,-0.498981,-0.914735,-0.064927,0.209547,-9.565370,0.709918,0.354959,False
2022-07-01,-13.282508,-8.820169,0.586488,-0.585681,-0.525139,-0.868233,-0.449491,-0.185342,0.209547,-10.638020,-2.644488,-1.322244,False
2022-08-01,-13.357626,-9.257229,-0.482781,-0.233281,-0.988034,-0.363726,0.171085,-0.258719,-0.173324,-11.586009,-1.771617,-0.885809,False
2022-09-01,-9.070712,-9.694289,0.272888,0.525881,-0.167237,0.517232,0.736860,-0.260153,-0.173324,-8.242143,-0.828569,-0.414284,False
2022-10-01,-4.666998,-10.117251,0.047992,0.390137,0.850449,0.866317,1.061003,-0.192506,-0.173324,-7.267184,2.600186,1.300093,False
2022-11-01,,-10.554311,-0.312070,-0.411202,0.801884,0.343186,1.060680,-0.070190,1.397293,-7.744732,,,False
2022-12-01,-8.325789,-10.977273,0.531960,-0.511314,-0.250590,-0.511186,0.736009,0.067171,1.397293,-9.517931,1.192142,0.596071,False
2023-01-01,-13.047151,-11.414333,-0.592680,0.258919,-1.000656,-0.863822,0.169958,0.190312,1.397293,-11.855009,-1.192142,-0.596071,False
2023-02-21,-12.008530,-12.133368,0.197267,0.195642,0.314811,0.264861,-0.785478,0.267800,-0.026553,-11.705018,-0.303512,-0.151756,False
2023-03-14,-13.224289,-12.429441,-0.589645,-0.366810,0.914290,0.747258,-1.022003,0.241641,-0.026553,-12.531264,-0.693025,-0.346512,False
2023-04-13,-13.532515,-12.852403,0.467537,-0.540146,0.741344,0.766355,-1.091401,0.151802,-0.026553,-12.383465,-1.149050,-0.574525,False
2023-05-09,-13.799645,-13.218969,-0.002975,0.068245,-0.189130,0.157088,-0.884379,0.040759,-0.026553,-14.055914,0.256269,0.128135,False
2023-06-14,-14.169517,-13.726523,-0.022529,0.592813,-1.005979,-0.758538,-0.284604,-0.121232,-0.026553,-15.353145,1.183628,0.591814,False
2023-07-11,-13.446921,-14.107189,0.447548,0.059308,-0.471626,-0.796011,0.262401,-0.215990,-0.026553,-14.848111,1.401191,0.700595,False
