date,167.875,167.875_trend,167.875_0.5yr,167.875_0.78yr,167.875_1yr,167.875_jump,167.875_model,167.875_noise,167.875_wtest,flagged
2024-03-06,-22.438495,-19.429388,-0.012299,0.751660,0.296824,-2.838443,-21.231645,-1.206850,-0.603425,False
2024-04-17,-23.717156,-20.048034,-2.059558,-0.056161,-0.107397,-2.838443,-25.109593,1.392437,0.696219,False
2024-05-16,-24.909565,-20.475195,-1.333583,-0.631382,-0.367429,-2.838443,-25.646032,0.736467,0.368233,False
2024-06-13,-24.095340,-20.887626,0.540376,-0.952672,-0.534387,-2.838443,-24.672753,0.577413,0.288707,False
2024-07-10,-25.274479,-21.285328,1.926899,-0.930826,-0.580885,-2.838443,-23.708582,-1.565897,-0.782949,False
2024-08-08,-25.466888,-21.712489,1.694529,-0.554517,-0.494573,-2.838443,-23.905492,-1.561396,-0.780698,False
2024-09-04,-25.646028,-22.110190,0.058943,-0.003246,-0.305371,-2.838443,-25.198307,-0.447721,-0.223860,False
2024-10-16,-24.924689,-22.728837,-2.049616,0.784806,0.097565,-2.838443,-26.734524,1.809835,0.904918,False
2024-11-12,-26.103829,-23.126538,-1.489996,0.984096,0.343718,-2.838443,-26.127162,0.023334,0.011667,False
2024-12-05,-26.256429,-23.465321,-0.023326,0.887167,0.497851,-2.838443,-24.942072,-1.314357,-0.657179,False
2025-01-01,-19.541256,-23.863022,1.645715,0.494676,0.579945,-2.838443,-23.981129,4.439874,2.219937,False
2025-02-19,-27.760674,-24.586754,1.064818,-0.519875,0.420502,-2.423428,-26.044738,-1.715936,-0.857968,False
2025-03-13,-26.906639,-24.911695,-0.450056,-0.850565,0.242032,-2.423428,-28.393712,1.487073,0.743536,False
2025-04-08,-28.079144,-25.295716,-1.862194,-0.984651,-0.010787,-2.423428,-30.576776,2.497633,1.248816,False
2025-05-06,-30.264918,-25.709277,-1.814194,-0.777355,-0.279218,-2.423428,-31.003472,0.738554,0.369277,False
2025-06-03,-29.450692,-26.122838,-0.206866,-0.282548,-0.484026,-2.423428,-29.519706,0.069014,0.034507,False
2025-07-16,-28.735989,-26.757950,2.037758,0.602921,-0.575122,-2.423428,-27.115821,-1.620168,-0.810084,False
2025-08-07,-28.881954,-27.082891,1.750235,0.897103,-0.501809,-2.423428,-27.360789,-1.521165,-0.760583,False
2025-09-16,-30.147346,-27.673692,-0.757265,0.885012,-0.200362,-2.423428,-30.169735,0.022389,0.011195,False
2025-10-01,-31.246868,-27.895243,-1.612528,0.695961,-0.054235,-2.423428,-31.289473,0.042605,0.021303,False
