datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.30685,2010-04-22,-102.4320,243.0820,-48.4080,2.0590,1.8470,9.4950
2010.30959,2010-04-23,-96.5570,242.4570,-37.2090,1.4290,1.2760,6.4810
2010.31233,2010-04-24,-95.3530,242.0660,-32.6050,1.4760,1.2970,6.6410
2010.31507,2010-04-25,-96.5520,242.3950,-42.3980,1.6190,1.4330,7.3770
2010.31781,2010-04-26,-96.1440,244.1710,-30.4890,1.6700,1.4150,7.3540
2010.32055,2010-04-27,-96.7480,243.1740,-20.8840,1.5950,1.4210,7.1880
2010.32329,2010-04-28,-101.5780,244.3760,-23.7700,1.5880,1.3340,6.9130
2010.32603,2010-04-29,-95.4760,242.8380,-41.3500,1.6720,1.4130,7.5430
2010.32877,2010-04-30,-98.5360,241.1660,-35.8740,1.6040,1.4090,7.2010
2010.33151,2010-05-01,-98.2450,244.9190,-34.7030,1.5970,1.3840,7.1060
2010.33425,2010-05-02,-95.4070,245.1170,-19.8040,1.5650,1.4010,7.1800
2010.33699,2010-05-03,-101.1470,244.7550,-33.3070,1.7180,1.5070,7.4800
2010.33973,2010-05-04,-100.0890,245.5740,-16.0890,1.6090,1.4030,7.2350
2010.34247,2010-05-05,-99.2080,245.2770,-20.6440,1.6720,1.4980,7.6230
2010.34521,2010-05-06,-100.0400,246.3090,-25.8760,1.6710,1.4680,7.5500
2010.34795,2010-05-07,-95.4310,243.7860,-24.8840,1.6340,1.4470,7.4690
2010.35068,2010-05-08,-94.2210,246.2370,-14.5470,1.6930,1.4740,7.7130
2010.35342,2010-05-09,-93.0700,244.9220,-12.4440,1.6910,1.5130,7.6780
2010.35616,2010-05-10,-95.2960,244.5540,-16.0210,1.5780,1.4060,7.1890
2010.35890,2010-05-11,-97.2770,246.2300,-25.3760,1.6170,1.4330,7.3740
2010.36164,2010-05-12,-98.8320,248.6290,-1.6490,1.7020,1.4680,7.6350
2010.36438,2010-05-13,-95.4300,246.1070,-11.9490,1.6730,1.4590,7.6070
2010.36712,2010-05-14,-97.3630,245.3090,-20.1470,1.6500,1.4680,7.3620
2010.36986,2010-05-15,-97.3990,244.9760,-19.4290,1.6600,1.4240,7.3540
2010.37260,2010-05-16,-98.3820,246.2660,-28.9100,1.7040,1.4770,7.7690
2010.37534,2010-05-17,-96.0710,245.5220,-20.9310,1.6870,1.4840,7.7300
2010.37808,2010-05-18,-101.4480,249.3620,-20.2460,1.6750,1.4680,7.5760
2010.38082,2010-05-19,-96.5770,245.5330,-19.9600,1.8210,1.6160,8.5920
2010.38356,2010-05-20,-100.6430,247.8100,-14.8070,1.8180,1.6360,8.3630
2010.38630,2010-05-21,-99.7910,246.8210,-20.3500,1.7880,1.5370,7.9810
2010.38904,2010-05-22,-98.7410,249.3480,-17.0370,1.7990,1.4940,7.9860
2010.39178,2010-05-23,-97.3870,243.4460,-9.0000,1.7810,1.5510,8.2280
2010.39452,2010-05-24,-97.7640,246.9990,-7.9100,1.6650,1.4510,7.5360
2010.39726,2010-05-25,-97.2680,246.4250,-14.2990,1.7800,1.4860,7.8000
2010.40000,2010-05-26,-101.0480,250.7160,-16.1400,1.6920,1.4550,7.5080
2010.40274,2010-05-27,-99.6730,245.4540,-28.5140,1.6500,1.5060,7.5730
2010.40548,2010-05-28,-98.2560,243.4920,-34.8200,1.6560,1.5410,7.7540
2010.40822,2010-05-29,-99.8700,244.5140,-33.2650,1.6830,1.4780,7.4980
2010.41096,2010-05-30,-98.7960,244.3770,-28.2980,1.6440,1.4840,7.6760
2010.41370,2010-05-31,-98.1800,243.1540,-22.4370,1.6710,1.4110,7.2670
