datetime,gpsdate,dN,dE,dU,sN,sE,sU
2010.47397,2010-06-22,-48.3380,101.4310,-156.4840,0.8990,0.9640,3.9450
2010.47671,2010-06-23,-47.9440,102.0710,-150.8560,0.8820,0.9190,3.8170
2010.47945,2010-06-24,-45.8840,102.0580,-157.7710,0.9520,0.9920,4.0900
2010.48219,2010-06-25,-47.3540,100.9130,-152.3280,0.9500,1.0090,3.9970
2010.48493,2010-06-26,-48.5050,102.4590,-150.7080,0.9140,0.9470,3.9470
2010.48767,2010-06-27,-49.7500,101.4860,-148.5650,0.9280,0.9820,4.0440
2010.49041,2010-06-28,-48.6260,101.3560,-148.8890,0.9300,0.9820,4.1120
2010.49315,2010-06-29,-46.5950,101.0230,-158.3510,0.8980,0.9500,3.8760
2010.52329,2010-07-10,-49.1580,104.4960,-152.5860,0.8990,0.9490,3.9000
2010.52603,2010-07-11,-49.9800,105.5360,-150.4680,0.8970,0.9430,3.9380
2010.52877,2010-07-12,-48.1100,104.6680,-150.6940,0.9140,0.9880,4.0920
2010.53151,2010-07-13,-49.4640,101.3520,-149.9330,0.9020,0.9610,3.9550
2010.53425,2010-07-14,-47.2890,104.7590,-158.7210,0.9060,1.0020,4.0840
2010.53699,2010-07-15,-52.0870,104.7000,-158.6330,0.8980,0.9720,4.0050
2010.53973,2010-07-16,-49.0640,104.6010,-166.1840,0.8970,0.9630,3.9030
2010.54247,2010-07-17,-51.5450,105.3570,-168.6440,0.9100,1.0280,4.0730
2010.54521,2010-07-18,-49.9680,107.6560,-156.9940,0.8800,0.9590,3.9500
2010.54795,2010-07-19,-47.9960,104.7630,-171.7960,0.8780,0.9440,3.8180
2010.55068,2010-07-20,-48.9500,105.6440,-166.0560,0.9400,1.0460,4.1920
2010.55342,2010-07-21,-50.2470,107.3930,-150.5230,0.9330,1.0020,4.2300
2010.55616,2010-07-22,-46.9220,104.1140,-156.0350,0.9090,0.9560,3.9850
2010.55890,2010-07-23,-51.4000,103.6770,-158.8940,0.9130,0.9610,4.0770
2010.56164,2010-07-24,-50.8310,109.3430,-153.5130,0.9130,0.9820,4.0880
2010.56438,2010-07-25,-51.3880,103.5820,-169.1470,0.9030,0.9720,3.9920
2010.56712,2010-07-26,-47.8130,104.1790,-162.4390,0.9000,0.9540,3.9700
2010.56986,2010-07-27,-49.8820,103.5450,-144.3370,0.9080,0.9680,3.9880
2010.57260,2010-07-28,-51.0540,104.5600,-168.3190,0.8980,0.9780,3.9670
2010.57534,2010-07-29,-51.1580,105.4310,-164.1640,0.9090,0.9500,3.8510
2010.57808,2010-07-30,-51.4540,105.4400,-160.1070,0.9120,0.9730,3.9350
2010.58082,2010-07-31,-52.3800,103.8740,-167.7130,0.8850,0.9250,3.8370
2010.58356,2010-08-01,-49.9660,101.7550,-168.8620,0.8930,0.9590,3.9330
2010.58630,2010-08-02,-49.8370,104.9550,-163.3670,0.8940,0.9490,3.9290
2010.60548,2010-08-09,-48.6450,106.1750,-166.3790,1.0610,1.1110,4.5720
2010.60822,2010-08-10,-50.1500,104.4840,-158.0640,0.9020,0.9830,4.0060
2010.61096,2010-08-11,-49.0760,105.1350,-158.3370,0.9240,0.9520,4.0800
2010.61370,2010-08-12,-50.1270,107.0690,-161.3150,0.9210,0.9960,4.0690
2010.61644,2010-08-13,-47.8400,106.8610,-164.6740,0.9170,0.9630,4.0400
2010.61918,2010-08-14,-50.9010,105.1610,-155.4470,0.9030,0.9730,4.1070
2010.62466,2010-08-16,-52.2540,106.4320,-157.0280,0.9270,1.0110,4.1340
2010.62740,2010-08-17,-52.1180,109.0350,-157.9940,0.9030,0.9610,4.0800
2010.63014,2010-08-18,-52.2970,108.3960,-166.5680,0.9050,0.9670,3.9610
2010.63288,2010-08-19,-49.4770,104.9130,-169.5600,0.9100,0.9590,3.9720
2010.63562,2010-08-20,-50.9370,105.8890,-163.1470,0.9000,0.9350,3.9650
2010.63836,2010-08-21,-48.1940,104.1540,-158.6970,0.9010,0.9410,4.0100
2010.64110,2010-08-22,-49.7640,104.0050,-163.5590,0.9120,0.9450,4.0000
2010.64384,2010-08-23,-52.3510,106.5850,-164.9510,0.9250,1.0170,4.2580
2010.64658,2010-08-24,-47.8800,101.5980,-157.2550,0.9720,1.0360,4.4620
2010.64932,2010-08-25,-50.2640,108.0360,-154.1450,0.9160,1.0140,4.1410
2010.65205,2010-08-26,-46.5310,108.1140,-159.7110,0.9110,0.9720,4.0620
2010.65479,2010-08-27,-50.2010,104.3600,-175.2220,0.9320,0.9510,4.1370
2010.65753,2010-08-28,-49.9390,106.0710,-156.5970,0.8810,0.9520,3.9470
2010.66027,2010-08-29,-51.5520,105.1420,-161.0730,0.8860,0.9460,3.9460
2010.66301,2010-08-30,-50.2890,107.6870,-178.0760,0.8960,0.9560,4.0030
2010.66575,2010-08-31,-52.1910,106.8920,-167.8530,0.8970,0.9460,3.9760
2010.66849,2010-09-01,-49.9220,107.0950,-159.0400,0.8600,0.9240,3.8230
2010.67123,2010-09-02,-49.9240,107.7920,-164.4120,0.8770,0.9400,3.9140
2010.67397,2010-09-03,-49.8610,109.5640,-156.5560,0.8890,0.9860,3.9950
2010.67671,2010-09-04,-49.0910,110.0060,-167.4480,0.9040,0.9690,4.1190
2010.67945,2010-09-05,-50.3100,107.6490,-155.4200,0.8810,0.9250,3.8830
2010.68219,2010-09-06,-49.2100,108.7280,-158.0840,0.8740,0.9320,3.9220
2010.68493,2010-09-07,-48.3900,106.2690,-152.4660,0.8750,0.9400,3.9250
2010.68767,2010-09-08,-48.4520,108.8950,-158.8510,0.8990,0.9670,4.0160
2010.69041,2010-09-09,-49.7070,106.8060,-151.1990,0.8950,0.9660,4.0720
2010.69315,2010-09-10,-49.8070,111.5120,-150.8680,0.8960,0.9760,4.1000
2010.69589,2010-09-11,-48.4890,108.1050,-156.5170,0.9240,0.9940,4.1630
2010.69863,2010-09-12,-49.0630,110.0540,-152.0060,0.8770,0.9610,3.9670
2010.70137,2010-09-13,-49.1270,108.9520,-164.8660,0.8680,0.9370,3.8270
2010.70411,2010-09-14,-51.0050,109.4780,-159.0720,0.8950,0.9640,4.0360
2010.70685,2010-09-15,-46.8710,108.9430,-159.1870,0.8780,0.9330,3.9330
2010.70959,2010-09-16,-49.0780,110.2300,-156.2140,0.8980,0.9810,4.0190
2010.71233,2010-09-17,-50.5050,110.4100,-153.4950,0.9040,0.9610,4.0480
2010.71507,2010-09-18,-50.9850,113.8310,-140.0760,0.9850,1.0140,4.4960
2010.71781,2010-09-19,-50.5400,108.6620,-155.3880,0.9260,1.0070,4.3890
2010.72055,2010-09-20,-50.3980,109.6120,-169.4410,0.9310,0.9980,4.3870
2010.72329,2010-09-21,-46.6270,107.8960,-158.4890,0.8970,0.9620,4.0430
2010.72603,2010-09-22,-48.9580,107.5660,-160.4050,0.8990,0.9500,4.1100
2010.72877,2010-09-23,-50.9360,110.7260,-159.0250,0.8890,0.9510,3.9750
2010.73151,2010-09-24,-50.2550,108.0760,-159.8920,0.8800,0.9210,3.8890
2010.73425,2010-09-25,-49.7060,109.9460,-168.4910,0.8790,0.9500,3.9290
2010.73699,2010-09-26,-49.1310,109.3820,-158.8850,0.8810,0.9430,3.8940
2010.73973,2010-09-27,-50.9810,109.9710,-164.0150,0.8930,0.9720,3.9360
2010.74247,2010-09-28,-52.1940,109.6560,-167.9810,0.8840,0.9910,3.8980
2010.74521,2010-09-29,-50.2410,109.8820,-153.3930,0.9080,0.9930,4.0430
2010.74795,2010-09-30,-47.0620,108.9250,-164.2710,0.8900,0.9740,4.0200
2010.75068,2010-10-01,-47.1910,110.7100,-167.5410,0.9570,0.9820,4.1510
2010.75342,2010-10-02,-51.0710,110.8860,-163.7100,0.9050,0.9670,3.9940
2010.75616,2010-10-03,-49.6610,111.0540,-167.5730,0.9230,0.9600,4.0430
2010.75890,2010-10-04,-48.6790,110.7710,-167.6680,0.8940,0.9480,4.0290
2010.76164,2010-10-05,-49.1280,110.9270,-166.7700,0.8810,0.9330,3.8880
2010.76438,2010-10-06,-50.7880,110.9470,-166.1270,0.9020,0.9470,3.9810
2010.76712,2010-10-07,-52.3960,112.0060,-174.1600,0.8760,0.9370,3.9590
2010.76986,2010-10-08,-52.5000,110.7860,-158.1410,0.8730,0.9470,3.8800
2010.77260,2010-10-09,-49.4040,110.8830,-166.5570,0.8690,0.9210,3.8180
2010.77534,2010-10-10,-50.6240,113.1930,-166.1480,0.8800,0.9430,3.9180
2010.77808,2010-10-11,-50.7050,111.8280,-173.0940,0.9030,0.9370,3.9180
2010.78082,2010-10-12,-51.6830,111.5240,-174.1740,0.8920,0.9270,3.9730
2010.78356,2010-10-13,-52.1840,113.1650,-170.8680,0.8990,0.9710,4.0210
2010.78630,2010-10-14,-50.8000,113.0480,-173.9200,0.8720,0.9320,3.8900
2010.78904,2010-10-15,-51.1760,112.5310,-166.5100,0.8930,0.9350,4.0830
2010.79178,2010-10-16,-49.7450,112.3980,-168.9550,0.8570,0.9390,3.8180
2010.79452,2010-10-17,-47.4250,110.6330,-171.4410,0.8830,0.9590,4.0040
2010.79726,2010-10-18,-50.7400,111.5920,-176.9310,0.8870,0.9670,3.9660
2010.80000,2010-10-19,-52.1590,110.4630,-174.5260,0.8640,0.9480,3.8600
2010.80274,2010-10-20,-50.3300,112.4020,-174.1180,0.8710,0.9400,3.9500
