date,86.914,86.914_trend,86.914_0.5yr,86.914_1yr,86.914_12.87yr,86.914_jump,86.914_exp,86.914_model,86.914_noise,86.914_wtest,flagged
2009-03-04,-25.000000,-17.106134,-0.190174,-0.242842,1.009993,-0.846027,-5.732019,-23.107204,-1.892796,-0.630932,False
2009-04-17,-25.000000,-17.304562,-1.213341,-1.278941,0.958121,-0.846027,-5.734712,-25.419462,0.419462,0.139821,False
2009-05-06,-23.000000,-17.390247,-0.888323,-1.532127,0.934685,-0.846027,-5.735686,-25.457724,2.457724,0.819241,False
2009-06-10,-25.000000,-17.548087,0.462487,-1.565691,0.889945,-0.846027,-5.737232,-24.344606,-0.655394,-0.218465,False
2009-07-15,-24.000000,-17.705928,1.219184,-1.047891,0.843255,-0.846027,-5.738504,-23.275911,-0.724089,-0.241363,False
2009-08-12,-21.499575,-17.832200,0.672018,-0.354030,0.804567,-0.846027,-5.739358,-23.295030,1.795456,0.598485,False
2009-09-15,-28.000000,-17.985531,-0.675382,0.579871,0.756078,-0.846027,-5.740232,-23.911222,-4.088778,-1.362926,False
2009-10-14,-28.000000,-18.116313,-1.219382,1.234772,0.713480,-1.559801,-6.572353,-25.519597,-2.480403,-0.826801,False
2009-11-11,-27.000000,-18.242585,-0.680752,1.582313,0.671332,-1.559801,-7.258006,-25.487500,-1.512500,-0.504167,False
2009-12-09,-27.000000,-18.368858,0.442994,1.569310,0.628242,-1.559801,-7.844821,-25.132934,-1.867066,-0.622355,False
2010-01-19,-24.000000,-18.553756,1.192073,0.926039,0.563574,-1.559801,-8.554941,-25.986813,1.986813,0.662271,False
2010-02-10,-27.000000,-18.652970,0.689436,0.367649,0.528163,-1.559801,-8.874276,-27.501800,0.501800,0.167267,False
2010-03-16,-27.000000,-18.806301,-0.657803,-0.566803,0.472548,-1.559801,-9.297019,-30.415180,3.415180,1.138393,False
2010-04-14,-31.000000,-18.937083,-1.219507,-1.225661,0.424335,-1.559801,-9.599548,-32.117265,1.117265,0.372422,False
2010-05-12,-32.000000,-19.063356,-0.698068,-1.579149,0.377179,-1.559801,-9.848825,-32.372021,0.372021,0.124007,False
2010-06-09,-31.000000,-19.189628,0.423371,-1.572813,0.329493,-1.559801,-10.062169,-31.631548,0.631548,0.210516,False
2010-07-14,-28.000000,-19.347468,1.219434,-1.069068,0.269244,-1.559801,-10.286136,-30.773796,2.773796,0.924599,False
2010-08-17,-29.000000,-19.500799,0.487771,-0.216564,0.210150,-1.559801,-10.465717,-31.044960,2.044960,0.681653,False
2010-09-14,-30.000000,-19.627072,-0.640029,0.553693,0.161153,-1.559801,-10.590135,-31.702190,1.702190,0.567397,False
2010-10-12,-32.000000,-19.753344,-1.217714,1.197787,0.111930,-1.559801,-10.696618,-31.917760,-0.082240,-0.027413,False
2010-11-16,-31.000000,-19.911184,-0.497373,1.607475,0.050189,-1.559801,-10.808403,-31.119097,0.119097,0.039699,False
2010-12-08,-30.000000,-20.010398,0.403622,1.576200,0.011315,-1.559801,-10.868315,-30.447378,0.447378,0.149126,False
2011-01-13,-30.000000,-20.172749,1.219490,1.058518,-0.052303,-1.559801,-10.951842,-30.458687,0.458687,0.152896,False
