date,86.914,86.914_trend,86.914_0.5yr,86.914_1yr,86.914_12.87yr,86.914_jump,86.914_exp,86.914_model,86.914_noise,86.914_wtest,flagged
2011-03-21,-32.000000,-30.072209,-0.820075,-0.696917,-0.862665,-1.461657,0.000000,-33.913524,1.913524,0.956762,False
2011-04-26,-33.000000,-30.327039,-1.111039,-1.427328,-0.948247,-1.461657,0.000000,-35.275310,2.275310,1.137655,False
2011-05-19,-33.000000,-30.489035,-0.435387,-1.625674,-1.001786,-1.461657,0.000000,-35.013540,2.013540,1.006770,False
2011-06-28,-35.000000,-30.769259,1.026458,-1.374866,-1.092609,-1.461657,0.000000,-33.671934,-1.328066,-0.664033,False
2011-07-26,-34.000000,-30.964275,1.115172,-0.806743,-1.154341,-1.461657,0.000000,-33.271844,-0.728156,-0.364078,False
2011-08-24,-36.000000,-31.165268,0.204368,-0.026634,-1.216569,-1.461657,0.000000,-33.665760,-2.334240,-1.167120,False
2011-09-20,-33.000000,-31.351493,-0.835322,0.709636,-1.272862,-1.461657,0.000000,-34.211699,1.211699,0.605849,False
2011-10-18,-34.000000,-31.543694,-1.198050,1.312372,-1.329486,-1.461657,0.000000,-34.220517,0.220517,0.110258,False
2011-11-18,-38.000000,-31.755393,-0.415848,1.627234,-1.389999,-1.461657,0.000000,-33.395664,-4.604336,-2.302168,False
2011-12-20,-36.000000,-31.972715,0.827729,1.477711,-1.449957,-1.461657,0.000000,-32.578889,-3.421111,-1.710556,False
2012-01-12,-35.000000,-32.127955,1.211792,1.092795,-1.491364,-1.461657,0.000000,-32.776389,-2.223611,-1.111805,False
2012-02-21,-37.000000,-32.396051,0.271449,0.072794,-1.559906,-1.461657,0.000000,-35.073371,-1.926629,-0.963314,False
2012-03-01,-38.103830,-32.456110,-0.100720,-0.179671,-1.574723,-1.461657,0.000000,-35.772880,-2.330949,-1.165475,False
2012-04-01,-41.053740,-32.662242,-1.105307,-0.980204,-1.624009,-1.461657,0.000000,-37.833418,-3.220322,-1.610161,False
2012-05-01,-41.528737,-32.860635,-0.995877,-1.498546,-1.669062,-1.461657,0.000000,-38.485777,-3.042959,-1.521480,False
2012-06-01,-39.316619,-33.064515,0.121443,-1.625037,-1.712808,-1.461657,0.000000,-37.742575,-1.574044,-0.787022,False
2012-07-01,-36.671234,-33.260730,1.096596,-1.318876,-1.752356,-1.461657,0.000000,-36.697023,0.025788,0.012894,False
2012-08-01,-36.073828,-33.462359,0.983864,-0.644833,-1.790274,-1.461657,0.000000,-36.375260,0.301432,0.150716,False
2012-09-01,-37.764428,-33.662843,-0.142131,0.207568,-1.825131,-1.461657,0.000000,-36.884196,-0.880232,-0.440116,False
2012-10-01,-39.571671,-33.855772,-1.105307,0.980204,-1.855894,-1.461657,0.000000,-37.298426,-2.273245,-1.136622,False
